Depth      CNPOR        DPOR         GR         RHOB        RHOC        RILD        RILM        RLL3       RxoRt         SP         SSD         DCAL        ABHV         DT         ITT        MEL15       MEL20       MELCAL       SPOR        TBHV    
     0.0000    -13.9936    221.4230   1746.9938     -1.0763     -2.7359 100000.0000   -999.2500   1977.1122    153.3572     65.0447     51.1759   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
     0.5000    -15.8181    213.6810   1532.0750     -0.9439     -2.7914 100000.0000 100000.0000   1694.6840    159.3820     82.8376     43.4921   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
     1.0000    -16.8833    184.5730   1004.8480     -0.4462     -2.5248 100000.0000      4.3010   1197.6122    172.9515     83.5462     54.6417   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
     1.5000    -17.4554    155.0770    544.9946      0.0582     -2.2654 100000.0000      9.9093   1885.6792    155.2079     71.3929     67.5701   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
     2.0000    -17.6152    133.2490    307.3249      0.4314     -2.0825 100000.0000     24.2166   1964.6301    153.6047     51.1392     77.8182   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
     2.5000    -17.5587    122.9591    203.3626      0.6074     -1.9692 100000.0000 100000.0000   1966.1267    153.5750     31.6300     87.2483   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
     3.0000    -17.3600    117.4017    149.2090      0.7024     -1.7793    160.6385 100000.0000   1968.1520    -97.9388     19.1804    116.5258   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
     3.5000    -16.9689    109.1843    124.6205      0.8429     -1.4180     29.7253 100000.0000   1970.6770   -163.9341     16.2453    206.0767   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
     4.0000    -16.4695    102.4517    119.1654      0.9581     -1.0410     34.6065 100000.0000   1970.3054   -157.9838     21.3871    379.3943   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
     4.5000    -15.8387     98.4241    113.8006      1.0269     -0.7745     36.7660 100000.0000   1930.2723   -154.8155     29.5111    587.6320   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
     5.0000    -14.3363     94.5705    109.7442      1.0928     -0.6393     25.8775 100000.0000   1809.9480   -166.0269     36.4909    722.6891   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
     5.5000    -10.9700     88.7749    121.6001      1.1919     -0.6165     26.3632 100000.0000   1763.7252   -164.2890     40.3806    716.8220   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
     6.0000     -7.0805     79.2472    138.0829      1.3549     -0.6622     67.1678 100000.0000   1867.0109   -129.9587     38.0960    610.6875   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
     6.5000     -6.1273     64.2276    142.3224      1.6117     -0.6952    277.6469 100000.0000   1939.2792    -75.9733     28.4869    508.1239   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
     7.0000     -7.1599     47.6792    143.1523      1.8947     -0.6567     95.4130 100000.0000   1963.0383   -118.1989     16.1169    473.7641   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
